,Country,Population
0,China,1433783686
1,India,1366417754
2,United States,329064917
3,Indonesia,270625568
4,Pakistan,216565318
5,Brazil,211049527
6,Nigeria,200963599
7,Bangladesh,163046161
8,Russia,145872256
9,Mexico,127575529
10,Japan,126860301
11,Ethiopia,112078730
12,Philippines,108116615
13,Egypt,100388073
14,Vietnam,96462106
15,Democratic Republic of the Congo,86790567
16,Germany,83517045
17,Turkey,83429615
18,Iran,82913906
19,Thailand,69037513
20,United Kingdom,67530172
21,France,65129728
22,Italy,60550075
23,South Africa,58558270
24,Tanzania,58005463
25,Myanmar,54045420
26,Kenya,52573973
27,South Korea,51225308
28,Colombia,50339443
29,Spain,46736776
30,Argentina,44780677
31,Uganda,44269594
32,Ukraine,43993638
33,Algeria,43053054
34,Sudan,42813238
35,Iraq,39309783
36,Afghanistan,38041754
37,Poland,37887768
38,Canada,37411047
39,Morocco,36471769
40,Saudi Arabia,34268528
41,Uzbekistan,32981716
42,Peru,32510453
43,Malaysia,31949777
44,Angola,31825295
45,Mozambique,30366036
46,Yemen,29161922
47,Ghana,28833629
48,Nepal,28608710
49,Venezuela,28515829
50,Madagascar,26969307
51,North Korea,25666161
52,Ivory Coast,25716544
53,Cameroon,25876380
54,Australia,25203198
55,Taiwan,23773876
56,Niger,23310715
57,Sri Lanka,21323733
58,Burkina Faso,20321378
59,Mali,19658031
60,Romania,19364557
61,Malawi,18628747
62,Chile,18952038
63,Kazakhstan,18551427
64,Zambia,17861030
65,Guatemala,17581472
66,Ecuador,17373662
67,Netherlands,17097130
68,Syria,17070135
69,Cambodia,16486542
70,Senegal,16296364
71,Chad,15946876
72,Somalia,15442905
73,Zimbabwe,14645468
74,Guinea,12771246
75,Rwanda,12626950
76,Benin,11801151
77,Tunisia,11694719
78,Belgium,11539328
79,Bolivia,11513100
80,Cuba,11333483
81,Haiti,11263770
82,South Sudan,11062113
83,Burundi,10864245
84,Dominican Republic,10738958
85,Czech Republic,10689209
86,Greece,10473455
87,Portugal,10226187
88,Jordan,10101694
89,Azerbaijan,10047718
90,Sweden,10036379
91,United Arab Emirates,9770529
92,Honduras,9746117
93,Hungary,9684679
94,Belarus,9452411
95,Tajikistan,9321018
96,Austria,8955102
97,Papua New Guinea,8776109
98,Serbia,8772235
99,Switzerland,8591365
100,Israel,8519377
101,Togo,8082366
102,Sierra Leone,7813215
103,Hong Kong,7436154
104,Laos,7169455
105,Paraguay,7044636
106,Bulgaria,7000119
107,Lebanon,6855713
108,Libya,6777452
109,Nicaragua,6545502
110,El Salvador,6453553
111,Kyrgyzstan,6415850
112,Turkmenistan,5942089
113,Singapore,5804337
114,Denmark,5771876
115,Finland,5532156
116,Slovakia,5457013
117,Congo,5380508
118,Norway,5378857
119,Costa Rica,5047561
120,Palestine,4981420
121,Oman,4974986
122,Liberia,4937374
123,Ireland,4882495
124,New Zealand,4783063
125,Central African Republic,4745185
126,Mauritania,4525696
127,Panama,4246439
128,Kuwait,4207083
129,Croatia,4130304
130,Moldova,4043263
131,Georgia,3996765
132,Eritrea,3497117
133,Uruguay,3461734
134,Bosnia and Herzegovina,3301000
135,Mongolia,3225167
136,Armenia,2957731
137,Jamaica,2948279
138,Puerto Rico,2933408
139,Albania,2880917
140,Qatar,2832067
141,Lithuania,2759627
142,Namibia,2494530
143,The Gambia,2347706
144,Botswana,2303697
145,Gabon,2172579
146,Lesotho,2125268
147,North Macedonia,2083459
148,Slovenia,2078654
149,Guinea-Bissau,1920922
150,Latvia,1906743
151,Bahrain,1641172
152,Trinidad and Tobago,1394973
153,Equatorial Guinea,1355986
154,Estonia,1325648
155,East Timor,1293119
156,Mauritius,1198575
157,Cyprus,1179551
158,Eswatini (Swaziland),1148130
159,Djibouti,973560
160,Fiji,889953
161,Réunion,888927
162,Comoros,850886
163,Guyana,782766
164,Bhutan,763092
165,Solomon Islands,669823
166,Macau,640445
167,Montenegro,627987
168,Luxembourg,615729
169,Western Sahara,582463
170,Suriname,581372
171,Cape Verde,549935
172,Maldives,530953
173,Guadeloupe,447905
174,Malta,440372
175,Brunei,433285
176,Belize,390353
177,Bahamas,389482
178,Martinique,375554
179,Iceland,339031
180,Vanuatu,299882
181,Barbados,287025
182,New Caledonia,282750
183,French Guiana,282731
184,French Polynesia,279287
185,Mayotte,266150
186,Sao Tome and Principe,215056
187,Samoa,197097
188,Saint Lucia,182790
189,Guam,172259
190,Curaçao,167294
191,Kiribati,163424
192,Federated States of Micronesia,117606
193,Grenada,113815
194,Tonga,112003
195,Saint Vincent and the Grenadines,110940
196,Aruba,110589
197,United States Virgin Islands,106314
198,Seychelles,104578
199,Antigua and Barbuda,97739
200,Isle of Man,97118
201,Andorra,84584
202,Dominica,77142
203,Cayman Islands,71808
204,Bermuda,64948
205,Marshall Islands,62506
206,Greenland,58791
207,Northern Mariana Islands,56672
208,American Samoa,56188
209,Saint Kitts and Nevis,55312
210,Faroe Islands,52823
211,Sint Maarten,48678
212,Monaco,42388
213,Turks and Caicos Islands,38964
214,Liechtenstein,38191
215,San Marino,38019
216,Gibraltar,33860
217,British Virgin Islands,33701
218,Caribbean Netherlands,30030
219,Palau,25979
220,Cook Islands,18008
221,Anguilla,17548
222,Tuvalu,14869
223,Wallis and Futuna,11646
224,Nauru,11432
225,"Saint Helena, Ascension and Tristan da Cunha",10756
226,Saint Pierre and Miquelon,6059
227,Montserrat,5822
228,Falkland Islands,4989
